id_riesgo,activo_id,activo_nombre,amenaza_id,amenaza_nombre,probabilidad,impacto,valor_cia,nivel_riesgo,clasificacion,requiere_control
R001,ACT001,Servidor de Base de Datos Principal,A001,Ataque de Phishing,4,5,9,180,Crítico,True
R002,ACT002,Base de Datos de Clientes,A001,Ataque de Phishing,4,5,9,180,Crítico,True
R003,ACT003,Sistema ERP,A001,Ataque de Phishing,4,5,9,180,Crítico,True
R004,ACT004,Red Corporativa,A001,Ataque de Phishing,4,5,8,160,Crítico,True
R008,ACT008,Sistema de Respaldos,A001,Ataque de Phishing,4,5,8,160,Crítico,True
R010,ACT010,Personal TI Especializado,A001,Ataque de Phishing,4,5,8,160,Crítico,True
R043,ACT003,Sistema ERP,A005,Error Humano,4,4,9,144,Crítico,True
R042,ACT002,Base de Datos de Clientes,A005,Error Humano,4,4,9,144,Crítico,True
R041,ACT001,Servidor de Base de Datos Principal,A005,Error Humano,4,4,9,144,Crítico,True
R005,ACT005,Correo Electrónico Corporativo,A001,Ataque de Phishing,4,5,7,140,Crítico,True
R012,ACT002,Base de Datos de Clientes,A002,Malware/Ransomware,3,5,9,135,Crítico,True
R011,ACT001,Servidor de Base de Datos Principal,A002,Malware/Ransomware,3,5,9,135,Crítico,True
R023,ACT003,Sistema ERP,A003,Acceso No Autorizado,3,5,9,135,Crítico,True
R063,ACT003,Sistema ERP,A007,Fuga de Información,3,5,9,135,Crítico,True
R062,ACT002,Base de Datos de Clientes,A007,Fuga de Información,3,5,9,135,Crítico,True
R052,ACT002,Base de Datos de Clientes,A006,Denegación de Servicio (DoS),3,5,9,135,Crítico,True
R051,ACT001,Servidor de Base de Datos Principal,A006,Denegación de Servicio (DoS),3,5,9,135,Crítico,True
R013,ACT003,Sistema ERP,A002,Malware/Ransomware,3,5,9,135,Crítico,True
R022,ACT002,Base de Datos de Clientes,A003,Acceso No Autorizado,3,5,9,135,Crítico,True
R021,ACT001,Servidor de Base de Datos Principal,A003,Acceso No Autorizado,3,5,9,135,Crítico,True
R053,ACT003,Sistema ERP,A006,Denegación de Servicio (DoS),3,5,9,135,Crítico,True
R061,ACT001,Servidor de Base de Datos Principal,A007,Fuga de Información,3,5,9,135,Crítico,True
R050,ACT010,Personal TI Especializado,A005,Error Humano,4,4,8,128,Crítico,True
R024,ACT004,Red Corporativa,A003,Acceso No Autorizado,3,5,8,120,Crítico,True
R070,ACT010,Personal TI Especializado,A007,Fuga de Información,3,5,8,120,Crítico,True
R060,ACT010,Personal TI Especializado,A006,Denegación de Servicio (DoS),3,5,8,120,Crítico,True
R030,ACT010,Personal TI Especializado,A003,Acceso No Autorizado,3,5,8,120,Crítico,True
R028,ACT008,Sistema de Respaldos,A003,Acceso No Autorizado,3,5,8,120,Crítico,True
R020,ACT010,Personal TI Especializado,A002,Malware/Ransomware,3,5,8,120,Crítico,True
R007,ACT007,Documentación Técnica,A001,Ataque de Phishing,4,4,7,112,Crítico,True
R009,ACT009,Portal Web Público,A001,Ataque de Phishing,4,4,7,112,Crítico,True
R025,ACT005,Correo Electrónico Corporativo,A003,Acceso No Autorizado,3,5,7,105,Crítico,True
R014,ACT004,Red Corporativa,A002,Malware/Ransomware,3,4,8,96,Crítico,True
R018,ACT008,Sistema de Respaldos,A002,Malware/Ransomware,3,4,8,96,Crítico,True
R006,ACT006,Estaciones de Trabajo,A001,Ataque de Phishing,4,4,6,96,Crítico,True
R054,ACT004,Red Corporativa,A006,Denegación de Servicio (DoS),3,4,8,96,Crítico,True
R068,ACT008,Sistema de Respaldos,A007,Fuga de Información,3,4,8,96,Crítico,True
R044,ACT004,Red Corporativa,A005,Error Humano,4,3,8,96,Crítico,True
R048,ACT008,Sistema de Respaldos,A005,Error Humano,4,3,8,96,Crítico,True
R064,ACT004,Red Corporativa,A007,Fuga de Información,3,4,8,96,Crítico,True
R058,ACT008,Sistema de Respaldos,A006,Denegación de Servicio (DoS),3,4,8,96,Crítico,True
R073,ACT003,Sistema ERP,A008,Interrupción de Servicios Públicos,2,5,9,90,Crítico,True
R093,ACT003,Sistema ERP,A010,Insider Threat,2,5,9,90,Crítico,True
R091,ACT001,Servidor de Base de Datos Principal,A010,Insider Threat,2,5,9,90,Crítico,True
