id_riesgo,activo,amenaza,nivel_riesgo,clasificacion,control_id,control_nombre,control_categoria,control_tipo
R001,Servidor de Base de Datos Principal,Ataque de Phishing,180,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R001,Servidor de Base de Datos Principal,Ataque de Phishing,180,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R001,Servidor de Base de Datos Principal,Ataque de Phishing,180,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R001,Servidor de Base de Datos Principal,Ataque de Phishing,180,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R002,Base de Datos de Clientes,Ataque de Phishing,180,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R002,Base de Datos de Clientes,Ataque de Phishing,180,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R002,Base de Datos de Clientes,Ataque de Phishing,180,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R002,Base de Datos de Clientes,Ataque de Phishing,180,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R003,Sistema ERP,Ataque de Phishing,180,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R003,Sistema ERP,Ataque de Phishing,180,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R003,Sistema ERP,Ataque de Phishing,180,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R003,Sistema ERP,Ataque de Phishing,180,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R004,Red Corporativa,Ataque de Phishing,160,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
R004,Red Corporativa,Ataque de Phishing,160,Crítico,A.6.3,"Concienciación, educación y capacitación",Personas,Preventivo
R004,Red Corporativa,Ataque de Phishing,160,Crítico,A.8.5,Autenticación segura,Tecnológico,Preventivo
R004,Red Corporativa,Ataque de Phishing,160,Crítico,A.8.23,Filtrado web,Tecnológico,Preventivo
R008,Sistema de Respaldos,Ataque de Phishing,160,Crítico,A.5.7,Inteligencia de amenazas,Organizacional,Detectivo
